Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
-0.021865,-0.10663282141100001,-0.0458986742720048,-0.0762657478415024,2.4293658855598086e-05,3.398,66.824,-7.1279999999999974,,,,924.3243243243244
-0.022628,-0.10746779244509681,-0.046366672425539,-0.07691723243531791,2.4440448007823127e-05,3.37,67.267,-7.005600000000009,,,,932.4324324324325
-0.023674,-0.1079427816670502,-0.04694217137199395,-0.07744247651952207,2.44002441180225e-05,3.376,67.767,-6.8999999999999995,,,,940.5405405405406
-0.024434,-0.10903274167782619,-0.047305671832544,-0.0781692067551851,2.4690827938112873e-05,3.389,68.334,-7.233600000000006,,,,948.6486486486488
-0.025485,-0.11008270615560001,-0.04767217536359375,-0.07887744075959688,2.4964212316802503e-05,3.4419,68.919,-7.687200000000007,,,,956.7567567567569
-0.025723,-0.11154764365404579,-0.04766917785829975,-0.07960841075617277,2.555138631829842e-05,3.4749,69.482,-8.12639999999999,,,,964.8648648648649
-0.026529,-0.1126476027530682,-0.04788118222995975,-0.08026439249151397,2.5906568209243385e-05,3.4989,70.113,-8.239199999999999,,,,972.972972972973
-0.026529,-0.11333257179312319,-0.04850917012325015,-0.08092087095818667,2.5929360667949213e-05,3.4359,70.50800000000001,-7.776000000000004,,,,981.0810810810812
-0.026244,-0.11363755493958719,-0.04918715386747594,-0.08141235440353156,2.5780160428844502e-05,3.388,71.0,-7.204799999999988,,,,989.1891891891893
-0.027251,-0.1141575420222802,-0.0499146502219552,-0.08203609612211771,2.5697156720129998e-05,3.3481,71.481,-6.943200000000002,,,,997.2972972972974
-0.028017,-0.1148375193453378,-0.050331150338479354,-0.08258433484190858,2.5802547602743374e-05,3.38,71.971,-7.245599999999996,,,,1005.4054054054055
-0.029064,-0.1157274902566392,-0.050436160175112744,-0.08308182521587597,2.6116532032610583e-05,3.426,72.465,-7.773599999999993,,,,1013.5135135135135
-0.031398,-0.1168774649800008,-0.05059018528714275,-0.08373382513357178,2.6514911877143223e-05,3.4679,73.024,-8.07360000000001,,,,1021.6216216216217
-0.031724,-0.11756743674145521,-0.05080818498170075,-0.08418781086157798,2.670370070390179e-05,3.432,73.483,-7.826400000000007,,,,1029.7297297297298
-0.030717,-0.11793740673809779,-0.05118016481810175,-0.08455878577809978,2.6702896767998414e-05,3.383,73.971,-7.245599999999996,,,,1037.837837837838
-0.031004,-0.1184623854583582,-0.05170715751649195,-0.08508477148742508,2.67020911767465e-05,3.3351,74.465,-6.818400000000002,,,,1045.945945945946
